Agency/Reference,Files,Lines,File with Highest Occurrences
test electronic platform, 3588,3588, nsiVSRZ_20150109_030001.csv
ао,2188,33487,nsiVSRZ_20151117_030001.csv
sberbank,3588,14171,nsiVSRZ_20150109_030001.csv
is, 3588,14171, nsiVSRZ_20150109_030001.csv
фз,3444,4936,nsiVSRZ_20150109_030001.csv
single electronic trading platform,3588,10061,nsiVSRZ_20150109_030001.csv
гуп,3588,7172,nsiVSRZ_20150109_030001.csv
agency for the state order of the republic of tatarstan,3588,4718,nsiVSRZ_20150109_030001.csv
national electronic platform,1835,3156,nsiVSRZ_20201103_030000.csv
оао,3588,24614,nsiVSRZ_20150109_030001.csv
ртс,3588,13693,nsiVSRZ_20150109_030001.csv
этп,3987,35218,nsiVSRZ_20150109_030001.csv
electronic trading system,3588,10623,nsiVSRZ_20150109_030001.csv
сэз,3588,3588,nsiVSRZ_20150109_030001.csv
referee,3588,3588,nsiVSRZ_20150109_030001.csv
electronic trading platform,3588,85613,nsiVSRZ_20150109_030001.csv
Russian auction house, 1321,2524, nsiVSRZ_20201103_030000.csv
этс,2026,2026,nsiVSRZ_20201103_030000.csv
manufacturer, 2026,2026, nsiVSRZ_20201103_030000.csv
e-commerce,3588,3588,nsiVSRZ_20150109_030001.csv
procurement site jsc,3588,3588,nsiVSRZ_20150109_030001.csv
ржд,3588,3588,nsiVSRZ_20150109_030001.csv
еэтп,3588,31060,nsiVSRZ_20150109_030001.csv
trading system gazneftetorg,3588,3588,nsiVSRZ_20150109_030001.csv
ру,3588,7156,nsiVSRZ_20150109_030001.csv
этп гпб,3588,7176,nsiVSRZ_20150109_030001.csv
утп,3588,3588,nsiVSRZ_20150109_030001.csv
electronic trading platform of the Ural Federal District, 3588.3588, nsiVSRZ_20150109_030001.csv
electronic trading platform of the Far Eastern Federal District, 3588.3588, nsiVSRZ_20150109_030001.csv
electronic trading platform of the Volga Federal District, 3588.3588, nsiVSRZ_20150109_030001.csv
electronic trading platform of the Siberian Federal District, 3588.3588, nsiVSRZ_20150109_030001.csv
electronic trading platform of the southern federal district, 3588.3588, nsiVSRZ_20150109_030001.csv
trading system spetsstroytorg,3588,3588,nsiVSRZ_20150109_030001.csv
trade system defense trade,3588,3588,nsiVSRZ_20150109_030001.csv
auction competitive house,3588,3588,nsiVSRZ_20150109_030001.csv
electronic trading platform rtrs,3588,3588,nsiVSRZ_20150109_030001.csv
purchases,3588,19178,nsiVSRZ_20150109_030001.csv
Sberbank of Russia,3588,3588,nsiVSRZ_20150109_030001.csv
electronic trading platform tender,3588,3588,nsiVSRZ_20150109_030001.csv
holding mrsk,3588,3588,nsiVSRZ_20150109_030001.csv
торги,3588,3588,nsiVSRZ_20150109_030001.csv
tzs electro, 3588,3588, nsiVSRZ_20150109_030001.csv
electronic capital,3584,3584,nsiVSRZ_20150109_030001.csv
tattehmedpharm, 3584,3584, nsiVSRZ_20150109_030001.csv
investment energy service, 3583,3583, nsiVSRZ_20150109_030001.csv
joint stock company,1675,8882,nsiVSRZ_20201103_030000.csv
state auction, 3576,3576, nsiVSRZ_20150109_030001.csv
electronic auctions of siberia,3576,3576,nsiVSRZ_20150109_030001.csv
exchange,3573,10111,nsiVSRZ_20150109_030001.csv
st,3573,10111,nsiVSRZ_20150109_030001.csv
petersburg,3573,10111,nsiVSRZ_20150109_030001.csv
ооо,3574,40802,nsiVSRZ_20150109_030001.csv
bashzakaz, 3574,3574, nsiVSRZ_20150109_030001.csv
Nesco system, 3569,3569, nsiVSRZ_20150109_030001.csv
electronic trading platform jsc,3560,13027,nsiVSRZ_20150109_030001.csv
aeroflot,3560,3560,nsiVSRZ_20150109_030001.csv
electronic trading platform kfu,3553,3553,nsiVSRZ_20150109_030001.csv
public procurement AIS, 3539,3539, nsiVSRZ_20150109_030001.csv
двэук,3533,3533,nsiVSRZ_20150109_030001.csv
в,3520,9788,nsiVSRZ_20150109_030001.csv
cas trade,3520,3520,nsiVSRZ_20150109_030001.csv
holding procurement system kes,3520,3520,nsiVSRZ_20150109_030001.csv
electronic trading platform jsc,3513,3513,nsiVSRZ_20150109_030001.csv
Severstal, 3513.3513, nsiVSRZ_20150109_030001.csv
evrazholding, 3505,3505, nsiVSRZ_20150109_030001.csv
